Email,First Name,Last Name,Phone Number
jre.augustin@gmail.com,Jean,A,(+1718) 683-6740
mark.the.jakkobs@gmail.com,Mark,Jakkobs,(+1800) 275-8777
george.washington@fakeemail.com,George,Washington,(+1617) 333-4567
abraham.lincoln@fakeemail.com,Abraham,Lincoln,(+1617) 558-1252
jre.a.u.g.ustin@gmail.com,Jean,Fake,(+1509) 888-7654
symphoz245@gmail.com,Manny,Augustin,(+1888) 777-6543
s.y.m.p.hoz245@gmail.com,Fake,Profile,(+1617) 287-5000
jre.augustin@abcemail.com,Jean,Second-Fake,(+1413) 545-0111
jre.augustin+newcopy@gmail.com,Jean,Augustin,(+1508) 521-5898
symphoz245+anothercopy@gmail.com,John,Deaux,(+1508) 999-8000
